Element, histo.bin, histo.cdf
0, 0,  0.00
1, 0,  0.00
2, 0,  0.00
3, 0,  0.00
4, 0,  0.00
5, 0,  0.00
6, 0,  0.00
7, 2,  7.629394531E-06
8, 5,  0.000026703
9, 21,  0.000106812
10, 20,  0.000183105
11, 38,  0.000328064
12, 73,  0.000606537
13, 93,  0.000961304
14, 135,  0.001476288
15, 148,  0.002040863
16, 229,  0.002914429
17, 242,  0.003837585
18, 356,  0.005195618
19, 434,  0.006851196
20, 506,  0.008781433
21, 596,  0.011054993
22, 708,  0.013755798
23, 893,  0.017162323
24, 953,  0.020797729
25, 1150,  0.025184631
26, 1284,  0.030082703
27, 1479,  0.03572464
28, 1577,  0.041740417
29, 1622,  0.047927856
30, 1795,  0.054775238
31, 1790,  0.061603546
32, 1847,  0.068649292
33, 1889,  0.075855255
34, 1847,  0.082901001
35, 1855,  0.089977264
36, 1687,  0.096412659
37, 1667,  0.102771759
38, 1597,  0.108863831
39, 1445,  0.114376068
40, 1429,  0.119827271
41, 1423,  0.125255585
42, 1384,  0.130535126
43, 1326,  0.135593414
44, 1170,  0.14005661
45, 1097,  0.144241333
46, 1107,  0.148464203
47, 962,  0.152133942
48, 882,  0.155498505
49, 849,  0.158737183
50, 870,  0.162055969
51, 760,  0.164955139
52, 801,  0.168010712
53, 714,  0.170734406
54, 673,  0.173301697
55, 706,  0.175994873
56, 694,  0.178642273
57, 677,  0.181224823
58, 729,  0.184005737
59, 739,  0.186824799
60, 738,  0.189640045
61, 633,  0.192054749
62, 738,  0.194869995
63, 759,  0.19776535
64, 798,  0.200809479
65, 768,  0.203739166
66, 706,  0.206432343
67, 786,  0.209430695
68, 811,  0.212524414
69, 800,  0.215576172
70, 849,  0.21881485
71, 770,  0.221752167
72, 733,  0.22454834
73, 823,  0.227687836
74, 809,  0.230773926
75, 839,  0.233974457
76, 862,  0.237262726
77, 861,  0.24054718
78, 883,  0.243915558
79, 940,  0.247501373
80, 978,  0.251232147
81, 985,  0.254989624
82, 1041,  0.258960724
83, 1093,  0.263130188
84, 1126,  0.267425537
85, 1121,  0.271701813
86, 1238,  0.276424408
87, 1363,  0.28162384
88, 1420,  0.28704071
89, 1552,  0.292961121
90, 1621,  0.299144745
91, 1714,  0.305683136
92, 1820,  0.312625885
93, 1728,  0.319217682
94, 1816,  0.326145172
95, 1715,  0.332687378
96, 1703,  0.339183807
97, 1611,  0.345329285
98, 1473,  0.350948334
99, 1481,  0.3565979
100, 1312,  0.361602783
101, 1286,  0.366508484
102, 1200,  0.371086121
103, 1123,  0.375370026
104, 1179,  0.379867554
105, 1128,  0.384170532
106, 1158,  0.388587952
107, 1177,  0.39307785
108, 1242,  0.397815704
109, 1209,  0.402427673
110, 1198,  0.406997681
111, 1290,  0.41191864
112, 1287,  0.416828156
113, 1427,  0.422271729
114, 1446,  0.427787781
115, 1386,  0.433074951
116, 1493,  0.438770294
117, 1635,  0.445007324
118, 1651,  0.451305389
119, 1705,  0.457809448
120, 1872,  0.464950562
121, 1921,  0.472278595
122, 2168,  0.480548859
123, 2115,  0.488616943
124, 2183,  0.496944427
125, 2279,  0.505638123
126, 2139,  0.51379776
127, 2151,  0.522003174
128, 1982,  0.529563904
129, 1928,  0.53691864
130, 1795,  0.543766022
131, 1775,  0.550537109
132, 1711,  0.557064056
133, 1646,  0.563343048
134, 1648,  0.569629669
135, 1872,  0.576770782
136, 1932,  0.584140778
137, 2049,  0.591957092
138, 2178,  0.600265503
139, 2244,  0.608825684
140, 2258,  0.61743927
141, 2254,  0.626037598
142, 2230,  0.634544373
143, 2214,  0.642990112
144, 2087,  0.650951385
145, 2131,  0.659080505
146, 2037,  0.666851044
147, 2144,  0.675029755
148, 2072,  0.682933807
149, 2085,  0.690887451
150, 2158,  0.699119568
151, 2254,  0.707717896
152, 2377,  0.716785431
153, 2426,  0.726039886
154, 2442,  0.735355377
155, 2461,  0.744743347
156, 2335,  0.753650665
157, 2180,  0.761966705
158, 2111,  0.770019531
159, 1925,  0.777362823
160, 1718,  0.783916473
161, 1591,  0.789985657
162, 1505,  0.795726776
163, 1374,  0.80096817
164, 1279,  0.805847168
165, 1247,  0.810604095
166, 1159,  0.81502533
167, 1130,  0.819335938
168, 1134,  0.823661804
169, 1094,  0.827835083
170, 1068,  0.83190918
171, 1078,  0.836021423
172, 1102,  0.84022522
173, 1126,  0.844520569
174, 1161,  0.848949432
175, 1111,  0.853187561
176, 1160,  0.85761261
177, 1118,  0.861877441
178, 1148,  0.866256714
179, 1031,  0.870189667
180, 912,  0.873668671
181, 916,  0.877162933
182, 791,  0.880180359
183, 728,  0.882957458
184, 615,  0.885303497
185, 591,  0.887557983
186, 550,  0.889656067
187, 580,  0.891868591
188, 589,  0.894115448
189, 565,  0.896270752
190, 573,  0.898456573
191, 677,  0.901039124
192, 723,  0.90379715
193, 765,  0.906715393
194, 818,  0.909835815
195, 840,  0.913040161
196, 914,  0.916526794
197, 856,  0.919792175
198, 908,  0.92325592
199, 842,  0.926467896
200, 776,  0.929428101
201, 796,  0.9324646
202, 829,  0.935626984
203, 814,  0.938732147
204, 789,  0.941741943
205, 794,  0.944770813
206, 818,  0.947891235
207, 788,  0.950897217
208, 775,  0.953853607
209, 844,  0.957073212
210, 913,  0.96055603
211, 956,  0.964202881
212, 922,  0.967720032
213, 897,  0.971141815
214, 877,  0.974487305
215, 887,  0.977870941
216, 874,  0.981204987
217, 719,  0.983947754
218, 592,  0.986206055
219, 498,  0.988105774
220, 415,  0.989688873
221, 365,  0.991081238
222, 340,  0.992378235
223, 272,  0.993415833
224, 242,  0.994338989
225, 202,  0.995109558
226, 202,  0.995880127
227, 161,  0.996494293
228, 135,  0.997009277
229, 80,  0.997314453
230, 70,  0.997581482
231, 46,  0.997756958
232, 42,  0.997917175
233, 36,  0.998054504
234, 25,  0.998149872
235, 20,  0.998226166
236, 12,  0.998271942
237, 7,  0.998298645
238, 5,  0.998317719
239, 6,  0.998340607
240, 4,  0.998355865
241, 0,  0.998355865
242, 0,  0.998355865
243, 0,  0.998355865
244, 1,  0.99835968
245, 0,  0.99835968
246, 0,  0.99835968
247, 1,  0.998363495
248, 1,  0.99836731
249, 0,  0.99836731
250, 1,  0.998371124
251, 1,  0.998374939
252, 0,  0.998374939
253, 0,  0.998374939
254, 0,  0.998374939
255, 426,  1.00
